modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb
sam_b_kvasir,0.772955079321379,0.85579798857732,0.8595060530728937,0.9028114534742095,0.85579798857732,0.9817864784119827,0.8523523677691177,0.9575247012461778,0.07742598133438981,99.3268973269164,190.26813824971518,0.02666666666666667
sam_l_kvasir,0.7769648324275596,0.8507033023908068,0.9272223728085112,0.8370707997207083,0.8507033023908068,0.9606556523811524,0.8802010297607554,0.9469129264530829,0.10384164773157165,111.95895989014574,415.3074312210083,0.02666666666666667
sam_2_b_kvasir,0.7086680682634542,0.7839216861135699,0.7761967413497676,0.8623787793938262,0.78392168611357,0.9820675986782614,0.7739210188506043,0.936588415678677,0.10539575381175176,124.92370779394201,246.92007382710776,0.10666666666666667
sam_2.1_b_kvasir,0.7184293227158001,0.8038793023919059,0.8060324243909889,0.8663140926618477,0.8038793023919059,0.9829476224552934,0.7993810126721844,0.9404605103220263,0.0928310215948356,133.07158786271407,227.54906018575033,0.10666666666666667
sam_2_l_kvasir,0.7154987925572888,0.7811665795372341,0.8040975873984302,0.8124268563057069,0.7811665795372341,0.9736704589234755,0.7894189757941594,0.936719339695892,0.10712257453122721,143.1297233598129,339.4000005722046,0.11333333333333333
sam_2.1_l_kvasir,0.7684527237936917,0.8426393481378338,0.8622624424195471,0.8724900034499544,0.8426393481378338,0.980017806316787,0.8496763856297863,0.9495484762429317,0.10898477200635254,122.10434960843178,292.4147701263428,0.11333333333333333
sam_3_kvasir,0.8745137016569953,0.9271704093493637,0.9195338743202786,0.9506024747586017,0.9271704093493637,0.9901124727264959,0.9210617044414717,0.9721777780099,0.13917648869759242,66.01380902357397,826.663932800293,1.0979817708333333
sam_b_pascals,0.7815663746940829,0.8570323537796134,0.8758497939405558,0.8810710863307359,0.8570323537796134,0.9689362587349741,0.8601295291242258,0.9432627455510922,0.16554572537323065,67.84091464000339,180.86331896483898,0.03125
sam_l_pascals,0.8095556162932747,0.878098103306951,0.8663647781607506,0.9195109377915218,0.8780981033069509,0.9861620459777667,0.8675835461536201,0.95324705136621,0.16141774826937744,48.03464806377501,407.98092633485794,0.03125
sam_2_b_pascal,0.7870338231433456,0.8578006974016891,0.8355590794618242,0.918529604133068,0.8578006974016891,0.9864970771124562,0.8420821513182304,0.9486739015882388,0.19899913853376305,68.44776755041372,145.86522430181503,0.125
sam_2.1_b_pascal,0.7600041549585554,0.8334434872458427,0.8067801908258954,0.9269137904840281,0.8334434872458427,0.986913703764376,0.8147242970101399,0.9395574113001441,0.187798360661062,64.2826868095562,219.91800144314766,0.125
sam_2_l_pascal,0.7776829775042988,0.8517257085497488,0.8147912942535039,0.9389260309628105,0.8517257085497488,0.9869128350897846,0.8268097287887081,0.9418037237310024,0.18769427753755452,57.244971168693425,359.77774299681187,0.125
sam_2.1_l_pascal,0.7729814522743794,0.8472331015517218,0.826398839558423,0.9229438314840965,0.8472331015517218,0.9851281195428974,0.8316560742953042,0.9406005653178824,0.18594953051856672,68.43919290994876,294.2268066108227,0.1328125
sam_3_pascals,0.8243564895526456,0.8865987971280163,0.9078721143769055,0.8877723974513337,0.8865987971280163,0.9684613854854476,0.8964407064541238,0.9534780244336399,0.19485780033096736,75.50071249695995,438.6302586644888,1.0623550415039062
sam_b_refcocog,0.5780604632752259,0.707620510946863,0.7928181964484732,0.6843086234301685,0.7076205109468631,0.8149865548458153,0.7468423453311293,0.8033791732071585,0.0606872080151383,139.39366101757722,407.92358716328937,0.02666666666666667
sam_2_b_refcocog,0.5627988905536946,0.6859544140609544,0.6157908210637538,0.8620044189882701,0.6859544140609544,0.9436299671013088,0.6386033264703791,0.8175679097953088,0.08271522105142885,124.79170391964647,247.4409294128418,0.10666666666666667
sam_2.1_b_refcocog,0.47360929531789736,0.6087471893210115,0.5210171625339387,0.8299558480659354,0.6087471893210115,0.9462837915073976,0.549468586053949,0.78333104518336,0.06371217118359147,130.73421369818035,208.69990666707358,0.10666666666666667
sam_2_l_refcocog,0.50928128547251,0.6294194804604684,0.5818397058099637,0.804612406792498,0.6294194804604684,0.9205472083769719,0.5947106928770822,0.7876657408451839,0.07323382888522993,152.1515410773365,358.8722022374471,0.11333333333333333
sam_2.1_l_refcocog,0.5112898052721109,0.6424028363506673,0.5791533371366858,0.8187883075484911,0.6424028363506672,0.9247449150078731,0.5971844575151186,0.7885070924761277,0.07352677830925373,155.01333424265337,299.28795019785565,0.11333333333333333
sam_l_refcocog,0.6078859233677802,0.7279867073683869,0.7475098105300909,0.7692247011995845,0.7279867073683869,0.8816614097687432,0.732945215944291,0.8283153495811928,0.07494021386506908,131.48457768423606,1537.4506537119548,0.02666666666666667
sam_3_refcocog,0.6582919747585109,0.7718186166400032,0.7522665887522783,0.848799498775401,0.7718186166400032,0.8938762024512054,0.7553373841024211,0.8583974015714947,0.09299822960206554,122.77539040276044,826.1568307876587,1.0260286458333334
